DUE_TO,CREATED_DATE,REGION,TIER,PRIORITY,ESTIMATED_DURATION,MAXIMUM_WAITING_TIME,RESOURCE_REQUIREMENT
2024-11-12 19:00:00,2024-10-29 19:51:57,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-04 13:00:00,2024-10-29 13:07:03,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-29 12:00:00,2024-10-29 12:49:50,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-05 18:00:00,2024-10-29 18:37:26,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-04 13:00:00,2024-10-29 13:54:45,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-11-12 18:00:00,2024-10-29 18:35:41,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-29 13:00:00,2024-10-29 13:13:14,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 12:00:00,2024-10-29 12:44:47,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-28 12:00:00,2024-10-29 12:39:41,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-12 12:00:00,2024-10-29 12:40:47,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-31 17:00:00,2024-10-29 17:03:07,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 17:00:00,2024-10-29 17:21:42,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-22 13:00:00,2024-10-29 13:03:48,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-31 19:00:00,2024-10-29 19:35:54,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-29 13:00:00,2024-10-29 13:09:03,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 12:00:00,2024-10-29 12:16:05,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 12:00:00,2024-10-29 12:34:35,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-04 14:00:00,2024-10-29 14:04:16,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-01 17:00:00,2024-10-29 17:26:04,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 14:00:00,2024-10-29 14:09:39,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-02 02:00:00,2024-10-29 02:43:59,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-29 22:00:00,2024-10-29 17:50:14,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 21:00:00,2024-10-29 21:30:18,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-05 13:00:00,2024-10-29 13:23:50,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-10-30 13:00:00,2024-10-29 13:52:13,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-14 19:00:00,2024-10-29 19:57:15,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 19:00:00,2024-10-29 19:48:29,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-29 21:30:00,2024-10-29 17:28:16,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 19:00:00,2024-10-29 19:50:43,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-29 17:00:00,2024-10-29 10:03:49,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 14:00:00,2024-10-29 14:07:31,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-01 14:00:00,2024-10-29 14:36:06,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 19:00:00,2024-10-29 19:49:16,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-04 13:00:00,2024-10-29 13:23:45,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 17:00:00,2024-10-29 23:42:52,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-02 17:00:00,2024-10-29 17:27:46,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 13:00:00,2024-10-29 13:38:38,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 13:00:00,2024-10-29 13:58:26,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 17:00:00,2024-10-29 17:25:23,sa-unknown-1,0,LOW,-1,-1,LOW
2024-11-04 13:00:00,2024-10-29 13:57:41,sa-unknown-1,15,MEDIUM,2,-1,LOW
2024-10-30 19:00:00,2024-10-29 19:16:24,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 23:00:00,2024-10-29 19:20:07,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 14:00:00,2024-10-29 14:33:02,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-29 21:30:00,2024-10-29 20:52:43,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-31 17:00:00,2024-10-29 17:26:44,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-31 14:00:00,2024-10-29 14:31:46,sa-unknown-1,0,LOW,-1,-1,LOW
2024-10-30 14:00:00,2024-10-29 14:29:07,sa-unknown-1,0,MEDIUM,2,-1,LOW
